"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"caseD_2","08054c04","Instruction Label","switchD_08054baa","Analysis","2","0"
"caseD_3","08054c1c","Instruction Label","switchD_08054baa","Analysis","2","0"
"caseD_4","08054c44","Instruction Label","switchD_08054baa","Analysis","2","0"
"caseD_5","08054c52","Instruction Label","switchD_08054baa","Analysis","2","0"
"caseD_6","08054c7c","Instruction Label","switchD_08054baa","Analysis","3","0"
"FUN_08054cac","08054cac","Function","Global","Default","0","1"
"switchD","08054cc4","Instruction Label","switchD_08054cc4","Analysis","0","0"
"switchdataD_08054ccc","08054ccc","Data Label","switchD_08054cc4","Analysis","3","0"
"caseD_0","08054ce0","Instruction Label","switchD_08054cc4","Analysis","2","0"
"caseD_1","08054d4e","Instruction Label","switchD_08054cc4","Analysis","2","0"
"caseD_2","08054d7c","Instruction Label","switchD_08054cc4","Analysis","2","0"
"caseD_3","08054dde","Instruction Label","switchD_08054cc4","Analysis","2","0"
"caseD_4","08054e1c","Instruction Label","switchD_08054cc4","Analysis","2","0"
"caseD_5","08054e8c","Instruction Label","switchD_08054cc4","Analysis","4","0"
"FUN_08054f18","08054f18","Function","Global","Default","0","1"
"FUN_08054fcc","08054fcc","Function","Global","Default","0","1"
"FUN_080550ec","080550ec","Function","Global","Default","0","1"
"switchD","0805510a","Instruction Label","switchD_0805510a","Analysis","0","0"
"switchdataD_08055110","08055110","Data Label","switchD_0805510a","Analysis","3","0"
"caseD_0","08055124","Instruction Label","switchD_0805510a","Analysis","2","0"
"caseD_1","080551d2","Instruction Label","switchD_0805510a","Analysis","2","0"
"caseD_2","080551fc","Instruction Label","switchD_0805510a","Analysis","2","0"
"caseD_3","08055206","Instruction Label","switchD_0805510a","Analysis","2","0"
"caseD_4","08055314","Instruction Label","switchD_0805510a","Analysis","2","0"
"caseD_5","0805531c","Instruction Label","switchD_0805510a","Analysis","5","0"
"FUN_0805532c","0805532c","Function","Global","Default","0","0"
"FUN_08055384","08055384","Function","Global","Default","0","1"
"FUN_08055650","08055650","Function","Global","Default","1","1"
"FUN_08055780","08055780","Function","Global","Default","1","1"
"FUN_080557a4","080557a4","Function","Global","Default","0","1"
"FUN_08055848","08055848","Function","Global","Default","0","1"
